"h2","h1","description"
"C1        ","CCAT      ","No Description                                                                                      "
"C2        ","CCAT      ","No Description                                                                                      "
"C3        ","CCAT      ","No Description                                                                                      "
"C4        ","CCAT      ","No Description                                                                                      "
"E1        ","ECAT      ","No Description                                                                                      "
"E2        ","ECAT      ","No Description                                                                                      "
"E3        ","ECAT      ","No Description                                                                                      "
"E4        ","ECAT      ","No Description                                                                                      "
"E5        ","ECAT      ","No Description                                                                                      "
"E6        ","ECAT      ","No Description                                                                                      "
"E7        ","ECAT      ","No Description                                                                                      "
"G1        ","GCAT      ","No Description                                                                                      "
"GCRIM     ","GCAT      ","CRIME, LAW ENFORCEMENT                                                                              "
"GDEF      ","GCAT      ","DEFENCE                                                                                             "
"GDIP      ","GCAT      ","INTERNATIONAL RELATIONS                                                                             "
"GDIS      ","GCAT      ","DISASTERS AND ACCIDENTS                                                                             "
"GENT      ","GCAT      ","ARTS, CULTURE, ENTERTAINMENT                                                                        "
"GENV      ","GCAT      ","ENVIRONMENT AND NATURAL WORLD                                                                       "
"GFAS      ","GCAT      ","FASHION                                                                                             "
"GHEA      ","GCAT      ","HEALTH                                                                                              "
"GJOB      ","GCAT      ","LABOUR ISSUES                                                                                       "
"GMIL      ","GCAT      ","MILLENNIUM ISSUES                                                                                   "
"GOBIT     ","GCAT      ","OBITUARIES                                                                                          "
"GODD      ","GCAT      ","HUMAN INTEREST                                                                                      "
"GPOL      ","GCAT      ","DOMESTIC POLITICS                                                                                   "
"GPRO      ","GCAT      ","BIOGRAPHIES, PERSONALITIES, PEOPLE                                                                  "
"GREL      ","GCAT      ","RELIGION                                                                                            "
"GSCI      ","GCAT      ","SCIENCE AND TECHNOLOGY                                                                              "
"GSPO      ","GCAT      ","SPORTS                                                                                              "
"GTOUR     ","GCAT      ","TRAVEL AND TOURISM                                                                                  "
"GVIO      ","GCAT      ","WAR, CIVIL WAR                                                                                      "
"GVOTE     ","GCAT      ","ELECTIONS                                                                                           "
"GWEA      ","GCAT      ","WEATHER                                                                                             "
"GWELF     ","GCAT      ","WELFARE, SOCIAL SERVICES                                                                            "
"M1        ","MCAT      ","No Description                                                                                      "
