"id_cat","parent","child","description"
"1","None      ","Root      ","No Description                                                                                      "
"2","CCAT      ","C1        ","No Description                                                                                      "
"3","C1        ","C11       ","STRATEGY/PLANS                                                                                      "
"4","C1        ","C12       ","LEGAL/JUDICIAL                                                                                      "
"5","C1        ","C13       ","REGULATION/POLICY                                                                                   "
"6","C1        ","C14       ","SHARE LISTINGS                                                                                      "
"7","C1        ","C15       ","PERFORMANCE                                                                                         "
"8","C15       ","C151      ","ACCOUNTS/EARNINGS                                                                                   "
"9","C151      ","C1511     ","ANNUAL RESULTS                                                                                      "
"10","C15       ","C152      ","COMMENT/FORECASTS                                                                                   "
"11","C1        ","C16       ","INSOLVENCY/LIQUIDITY                                                                                "
"12","C1        ","C17       ","FUNDING/CAPITAL                                                                                     "
"13","C17       ","C171      ","SHARE CAPITAL                                                                                       "
"14","C17       ","C172      ","BONDS/DEBT ISSUES                                                                                   "
"15","C17       ","C173      ","LOANS/CREDITS                                                                                       "
"16","C17       ","C174      ","CREDIT RATINGS                                                                                      "
"17","C1        ","C18       ","OWNERSHIP CHANGES                                                                                   "
"18","C18       ","C181      ","MERGERS/ACQUISITIONS                                                                                "
"19","C18       ","C182      ","ASSET TRANSFERS                                                                                     "
"20","C18       ","C183      ","PRIVATISATIONS                                                                                      "
"21","CCAT      ","C2        ","No Description                                                                                      "
"22","C2        ","C21       ","PRODUCTION/SERVICES                                                                                 "
"23","C2        ","C22       ","NEW PRODUCTS/SERVICES                                                                               "
"24","C2        ","C23       ","RESEARCH/DEVELOPMENT                                                                                "
"25","C2        ","C24       ","CAPACITY/FACILITIES                                                                                 "
"26","CCAT      ","C3        ","No Description                                                                                      "
"27","C3        ","C31       ","MARKETS/MARKETING                                                                                   "
"28","C31       ","C311      ","DOMESTIC MARKETS                                                                                    "
"29","C31       ","C312      ","EXTERNAL MARKETS                                                                                    "
"30","C31       ","C313      ","MARKET SHARE                                                                                        "
"31","C3        ","C32       ","ADVERTISING/PROMOTION                                                                               "
"32","C3        ","C33       ","CONTRACTS/ORDERS                                                                                    "
"33","C33       ","C331      ","DEFENCE CONTRACTS                                                                                   "
"34","C3        ","C34       ","MONOPOLIES/COMPETITION                                                                              "
"35","CCAT      ","C4        ","No Description                                                                                      "
"36","C4        ","C41       ","MANAGEMENT                                                                                          "
"37","C41       ","C411      ","MANAGEMENT MOVES                                                                                    "
"38","C4        ","C42       ","LABOUR                                                                                              "
"39","Root      ","CCAT      ","CORPORATE/INDUSTRIAL                                                                                "
"40","ECAT      ","E1        ","No Description                                                                                      "
"41","E1        ","E11       ","ECONOMIC PERFORMANCE                                                                                "
"42","E1        ","E12       ","MONETARY/ECONOMIC                                                                                   "
"43","E12       ","E121      ","MONEY SUPPLY                                                                                        "
"44","E1        ","E13       ","INFLATION/PRICES                                                                                    "
"45","E13       ","E131      ","CONSUMER PRICES                                                                                     "
"46","E13       ","E132      ","WHOLESALE PRICES                                                                                    "
"47","E1        ","E14       ","CONSUMER FINANCE                                                                                    "
"48","E14       ","E141      ","PERSONAL INCOME                                                                                     "
"49","E14       ","E142      ","CONSUMER CREDIT                                                                                     "
"50","E14       ","E143      ","RETAIL SALES                                                                                        "
"51","ECAT      ","E2        ","No Description                                                                                      "
"52","E2        ","E21       ","GOVERNMENT FINANCE                                                                                  "
"53","E21       ","E211      ","EXPENDITURE/REVENUE                                                                                 "
"54","E21       ","E212      ","GOVERNMENT BORROWING                                                                                "
"55","ECAT      ","E3        ","No Description                                                                                      "
"56","E3        ","E31       ","OUTPUT/CAPACITY                                                                                     "
"57","E31       ","E311      ","INDUSTRIAL PRODUCTION                                                                               "
"58","E31       ","E312      ","CAPACITY UTILIZATION                                                                                "
"59","E31       ","E313      ","INVENTORIES                                                                                         "
"60","ECAT      ","E4        ","No Description                                                                                      "
"61","E4        ","E41       ","EMPLOYMENT/LABOUR                                                                                   "
"62","E41       ","E411      ","UNEMPLOYMENT                                                                                        "
"63","ECAT      ","E5        ","No Description                                                                                      "
"64","E5        ","E51       ","TRADE/RESERVES                                                                                      "
"65","E51       ","E511      ","BALANCE OF PAYMENTS                                                                                 "
"66","E51       ","E512      ","MERCHANDISE TRADE                                                                                   "
"67","E51       ","E513      ","RESERVES                                                                                            "
"68","ECAT      ","E6        ","No Description                                                                                      "
"69","E6        ","E61       ","HOUSING STARTS                                                                                      "
"70","ECAT      ","E7        ","No Description                                                                                      "
"71","E7        ","E71       ","LEADING INDICATORS                                                                                  "
"72","Root      ","ECAT      ","ECONOMICS                                                                                           "
"73","GCAT      ","G1        ","No Description                                                                                      "
"74","G1        ","G15       ","EUROPEAN COMMUNITY                                                                                  "
"75","G15       ","G151      ","EC INTERNAL MARKET                                                                                  "
"76","G15       ","G152      ","EC CORPORATE POLICY                                                                                 "
"77","G15       ","G153      ","EC AGRICULTURE POLICY                                                                               "
"78","G15       ","G154      ","EC MONETARY/ECONOMIC                                                                                "
"79","G15       ","G155      ","EC INSTITUTIONS                                                                                     "
"80","G15       ","G156      ","EC ENVIRONMENT ISSUES                                                                               "
"81","G15       ","G157      ","EC COMPETITION/SUBSIDY                                                                              "
"82","G15       ","G158      ","EC EXTERNAL RELATIONS                                                                               "
"83","G15       ","G159      ","EC GENERAL                                                                                          "
"84","Root      ","GCAT      ","GOVERNMENT/SOCIAL                                                                                   "
"85","GCAT      ","GCRIM     ","CRIME, LAW ENFORCEMENT                                                                              "
"86","GCAT      ","GDEF      ","DEFENCE                                                                                             "
"87","GCAT      ","GDIP      ","INTERNATIONAL RELATIONS                                                                             "
"88","GCAT      ","GDIS      ","DISASTERS AND ACCIDENTS                                                                             "
"89","GCAT      ","GENT      ","ARTS, CULTURE, ENTERTAINMENT                                                                        "
"90","GCAT      ","GENV      ","ENVIRONMENT AND NATURAL WORLD                                                                       "
"91","GCAT      ","GFAS      ","FASHION                                                                                             "
"92","GCAT      ","GHEA      ","HEALTH                                                                                              "
"93","GCAT      ","GJOB      ","LABOUR ISSUES                                                                                       "
"94","GCAT      ","GMIL      ","MILLENNIUM ISSUES                                                                                   "
"95","GCAT      ","GOBIT     ","OBITUARIES                                                                                          "
"96","GCAT      ","GODD      ","HUMAN INTEREST                                                                                      "
"97","GCAT      ","GPOL      ","DOMESTIC POLITICS                                                                                   "
"98","GCAT      ","GPRO      ","BIOGRAPHIES, PERSONALITIES, PEOPLE                                                                  "
"99","GCAT      ","GREL      ","RELIGION                                                                                            "
"100","GCAT      ","GSCI      ","SCIENCE AND TECHNOLOGY                                                                              "
"101","GCAT      ","GSPO      ","SPORTS                                                                                              "
"102","GCAT      ","GTOUR     ","TRAVEL AND TOURISM                                                                                  "
"103","GCAT      ","GVIO      ","WAR, CIVIL WAR                                                                                      "
"104","GCAT      ","GVOTE     ","ELECTIONS                                                                                           "
"105","GCAT      ","GWEA      ","WEATHER                                                                                             "
"106","GCAT      ","GWELF     ","WELFARE, SOCIAL SERVICES                                                                            "
"107","MCAT      ","M1        ","No Description                                                                                      "
"108","M1        ","M11       ","EQUITY MARKETS                                                                                      "
"109","M1        ","M12       ","BOND MARKETS                                                                                        "
"110","M1        ","M13       ","MONEY MARKETS                                                                                       "
"111","M13       ","M131      ","INTERBANK MARKETS                                                                                   "
"112","M13       ","M132      ","FOREX MARKETS                                                                                       "
"113","M1        ","M14       ","COMMODITY MARKETS                                                                                   "
"114","M14       ","M141      ","SOFT COMMODITIES                                                                                    "
"115","M14       ","M142      ","METALS TRADING                                                                                      "
"116","M14       ","M143      ","ENERGY MARKETS                                                                                      "
"117","Root      ","MCAT      ","MARKETS                                                                                             "
